,Title,Rank,Lifetime Gross,Overall Rank,Year
127,Thor: The Dark World,128,206362140,222,2013
128,Austin Powers: The Spy Who Shagged Me,129,206040086,224,1999
129,The Amazing Spider-Man 2,130,202853933,226,2014
130,World War Z,131,202807711,227,2013
131,The Mummy Returns,132,202019785,228,2001
132,Armageddon,133,201578182,229,1998
133,Godzilla,134,200676069,234,2014
134,Superman Returns,135,200081192,235,2006
135,Spectre,136,200074609,236,2015
136,Pearl Harbor,137,198542554,237,2001
137,Indiana Jones and the Last Crusade,138,197171806,240,1989
138,Mission: Impossible - Rogue Nation,139,195042377,243,2015
139,Twilight,140,193962473,244,2008
140,Men in Black II,141,193735288,245,2002
141,Teenage Mutant Ninja Turtles,142,191204754,249,2014
142,Dunkirk,143,189740665,253,2017
143,A Quiet Place,144,188024361,256,2018
144,Interstellar,145,188020017,257,2014
145,Sherlock Holmes: A Game of Shadows,146,186848418,261,2011
146,The Day After Tomorrow,147,186740799,262,2004
147,Mr. & Mrs. Smith,148,186336279,263,2005
148,Pitch Perfect 2,149,184296230,266,2015
149,Dances with Wolves,150,184208848,267,1990
150,Sound of Freedom,151,184178046,268,2023
151,Batman Forever,152,184069126,269,1995
152,The Fugitive,153,183875760,270,1993
153,Black Widow,154,183651655,271,2021
154,Ocean's Eleven,155,183417150,273,2001
155,The Simpsons Movie,156,183135014,274,2007
156,What Women Want,157,182811707,275,2000
157,The Perfect Storm,158,182618434,276,2000
158,Lincoln,159,182207973,277,2012
159,Liar Liar,160,181410615,278,1997
160,Jurassic Park III,161,181171875,279,2001
161,Thor,162,181030624,280,2011
162,Mission: Impossible,163,180981856,281,1996
163,Ant-Man,164,180202163,283,2015
164,Planet of the Apes,165,180011740,284,2001
165,X-Men Origins: Wolverine,166,179883157,286,2009
166,Hitch,167,179495555,288,2005
167,Taylor Swift: The Eras Tour,168,179228338,289,2023
168,Men in Black 3,169,179020854,290,2012
169,Rise of the Planet of the Apes,170,176760185,297,2011
170,Captain America: The First Avenger,171,176654505,298,2011
171,The Bourne Supremacy,172,176241941,302,2004
172,Crazy Rich Asians,173,174837452,307,2018
173,Crocodile Dundee,174,174803506,308,1986
174,Indiana Jones and the Dial of Destiny,175,174480468,309,2023
175,Fast & Furious Presents: Hobbs & Shaw,176,173956935,311,2019
176,F9: The Fast Saga,177,173005945,315,2021
177,Pirates of the Caribbean: Dead Men Tell No Tales,178,172558876,318,2017
178,Mission: Impossible - Dead Reckoning Part One,179,172135383,319,2023
179,True Grit,180,171243005,323,2010
180,A Beautiful Mind,181,170742341,326,2001
181,Chicago,182,170687518,327,2002
182,The Help,183,169708112,328,2011
183,Quantum of Solace,184,168368427,332,2008
184,Wild Hogs,185,168273550,333,2007
185,Black Adam,186,168152111,334,2022
186,Kong: Skull Island,187,168052812,335,2017
187,Casino Royale,188,167445960,339,2006
188,Meet the Parents,189,166244045,340,2000
189,2012,190,166112167,342,2009
190,Robin Hood: Prince of Thieves,191,165493908,343,1991
191,Knives Out,192,165363234,344,2019
192,Eternals,193,164870234,347,2021
193,Catch Me If You Can,194,164615351,348,2002
194,The Proposal,195,163958031,349,2009
195,The Pursuit of Happyness,196,163566459,350,2006
196,Big Daddy,197,163479795,351,1999
197,Clash of the Titans,198,163214888,352,2010
198,Batman Returns,199,162924631,354,1992
199,Jason Bourne,200,162434410,358,2016
