Rank,Title,Lifetime Gross,Year
157,Pirates of the Caribbean: On Stranger Tides,241071802,2011
158,Shrek Forever After,238736787,2010
159,Fast & Furious 6,238679850,2013
160,Brave,237283207,2012
161,Oz the Great and Powerful,234911825,2013
162,Beverly Hills Cop,234760478,1984
163,X-Men: The Last Stand,234362462,2006
164,War of the Worlds,234280354,2005
165,Fantastic Beasts and Where to Find Them,234037575,2016
166,X-Men: Days of Future Past,233921534,2014
167,Cast Away,233632142,2000
168,The Exorcist,233005644,1973
169,Doctor Strange,232641920,2016
170,The Lost World: Jurassic Park,229086679,1997
171,Justice League,229024295,2017
172,Star Trek Into Darkness,228778661,2013
173,The Martian,228433663,2015
174,Signs,227966634,2002
175,Hancock,227946274,2008
176,The Bourne Ultimatum,227471070,2007
177,Logan,226277068,2017
178,Rush Hour 2,226164286,2001
179,The Fate of the Furious,226008385,2017
180,Shang-Chi and the Legend of the Ten Rings,224543292,2021
181,WALL·E,223808164,2008
182,Toy Story,223225679,1995
183,Big Hero 6,222527828,2014
184,Mission: Impossible - Fallout,220159104,2018
185,National Treasure: Book of Secrets,219964115,2007
186,Alvin and the Chipmunks: The Squeakquel,219614612,2009
187,Mrs. Doubtfire,219195243,1993
188,Beauty and the Beast,218967620,1991
189,Ted,218815487,2012
190,King Kong,218080025,2005
191,Ghost,217631306,1990
192,How to Train Your Dragon,217581231,2010
193,The Da Vinci Code,217536138,2006
194,Aladdin,217350219,1992
195,Alvin and the Chipmunks,217326974,2007
196,Saving Private Ryan,217049603,1998
197,Bohemian Rhapsody,216668042,2018
198,Ant-Man and the Wasp,216648740,2018
199,Madagascar 3: Europe's Most Wanted,216391482,2012
200,Kung Fu Panda,215771591,2008
