Rank,Release Group,Worldwide,Domestic,% of Total,Foreign,% of Total
1,Night Swim,17663000,12000000.0,0.679,5663000,0.321
2,Aristokratka ve varu,33697,,,33697,1.0
3,The Bricklayer,8860,,,8860,1.0
4,Inshallah a Boy,1309,,,1309,1.0
