Rank,Title,Gross Earnings,Number of Theaters,Release Date,Distributor
1,Barbie,636225983,4337,Jul 21,Warner Bros.
2,The Super Mario Bros. Movie,574934330,4371,Apr 5,Universal Pictures
3,Spider-Man: Across the Spider-Verse,381311319,4332,Jun 2,Columbia Pictures
4,Guardians of the Galaxy Vol. 3,358995815,4450,May 5,Walt Disney Studios Motion Pictures
5,Oppenheimer,326101370,3761,Jul 21,Universal Pictures
6,The Little Mermaid,298172056,4320,May 26,Walt Disney Studios Motion Pictures
7,Avatar: The Way of Water,283067859,4340,Dec 16,20th Century Studios
8,Ant-Man and the Wasp: Quantumania,214504909,4345,Feb 17,Walt Disney Studios Motion Pictures
9,John Wick: Chapter 4,187131806,3855,Mar 24,Lions Gate Films
10,Sound of Freedom,184177725,3411,Jul 4,Angel Studios
11,Taylor Swift: The Eras Tour,179765733,3855,Oct 13,-
12,Indiana Jones and the Dial of Destiny,174480468,4600,Jun 30,Walt Disney Studios Motion Pictures
13,Mission: Impossible - Dead Reckoning Part One,172135383,4327,Jul 12,Paramount Pictures
14,The Hunger Games: The Ballad of Songbirds & Snakes,159719625,3776,Nov 17,Lions Gate Films
15,Transformers: Rise of the Beasts,157066392,3680,Jun 9,Paramount Pictures
16,Creed III,156248615,4007,Mar 3,United Artists Releasing
17,Elemental,154426697,4035,Jun 16,Walt Disney Studios Motion Pictures
18,Fast X,146126015,4088,May 19,Universal Pictures
19,Five Nights at Freddy's,137275620,3789,Oct 27,Universal Pictures International (UPI)
20,Wonka,133129902,4213,Dec 15,Warner Bros.
21,Puss in Boots: The Last Wish,130425380,4121,Dec 21,Universal Pictures
22,Teenage Mutant Ninja Turtles: Mutant Mayhem,118613586,3950,Aug 2,Paramount Pictures
23,Scream VI,108161389,3676,Mar 10,Paramount Pictures
24,The Flash,108133313,4256,Jun 16,Warner Bros.
25,Trolls Band Together,96370205,3893,Nov 17,Universal Pictures
26,M3GAN,95159005,3628,Jan 6,Universal Pictures
27,Dungeons & Dragons: Honor Among Thieves,93277026,3856,Mar 31,Paramount Pictures
